Game 16, Avg Cost: 0.115, Last cost: 0.115, Turns: 352, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -5, Val:  0.3387, lr_factor: 0.105
Game 17, Avg Cost: 0.045, Last cost: 0.045, Turns: 292, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   5, Val:  0.2118, lr_factor: 0.100
Game 18, Avg Cost: 0.084, Last cost: 0.084, Turns: 396, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val:  0.2895, lr_factor: 0.095
Game 19, Avg Cost: 0.002, Last cost: 0.002, Turns: 285, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.0488, lr_factor: 0.091
Game 20, Avg Cost: 0.342, Last cost: 0.342, Turns: 467, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.5845, lr_factor: 0.087
Game 21, Avg Cost: 0.127, Last cost: 0.127, Turns: 411, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.3559, lr_factor: 0.083
Game 22, Avg Cost: 0.072, Last cost: 0.072, Turns: 344, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  14, Val: -0.2674, lr_factor: 0.080
Game 23, Avg Cost: 0.291, Last cost: 0.291, Turns: 341, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val: -0.5393, lr_factor: 0.077
Game 24, Avg Cost: 0.014, Last cost: 0.014, Turns: 313, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.1187, lr_factor: 0.074
Game 25, Avg Cost: 0.019, Last cost: 0.019, Turns: 361, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.1388, lr_factor: 0.071
Game 26, Avg Cost: 0.065, Last cost: 0.065, Turns: 321, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val:  0.2552, lr_factor: 0.069
Game 27, Avg Cost: 0.030, Last cost: 0.030, Turns: 265, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -6, Val:  0.1741, lr_factor: 0.067
Game 28, Avg Cost: 0.223, Last cost: 0.223, Turns: 432, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.4719, lr_factor: 0.065
Game 29, Avg Cost: 0.030, Last cost: 0.030, Turns: 230, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  10, Val:  0.1738, lr_factor: 0.062
Game 30, Avg Cost: 0.134, Last cost: 0.134, Turns: 222, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  14, Val:  0.3655, lr_factor: 0.061
Game 31, Avg Cost: 0.008, Last cost: 0.008, Turns: 261, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -7, Val:  0.0904, lr_factor: 0.059
Game 32, Avg Cost: 0.545, Last cost: 0.545, Turns: 251, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -11, Val: -0.2618, lr_factor: 0.971
Game 33, Avg Cost: 0.845, Last cost: 0.845, Turns: 134, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:   6, Val:  0.0808, lr_factor: 0.972
Game 34, Avg Cost: 0.027, Last cost: 0.027, Turns: 290, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.1643, lr_factor: 0.108
Game 35, Avg Cost: 0.006, Last cost: 0.006, Turns: 329, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -10, Val: -0.0748, lr_factor: 0.105
Game 36, Avg Cost: 0.000, Last cost: 0.000, Turns: 390, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.0017, lr_factor: 0.103
Game 37, Avg Cost: 0.038, Last cost: 0.038, Turns: 406, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   8, Val: -0.1953, lr_factor: 0.100
Game 38, Avg Cost: 0.097, Last cost: 0.097, Turns: 357, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.3115, lr_factor: 0.098
Game 39, Avg Cost: 0.067, Last cost: 0.067, Turns: 265, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.2596, lr_factor: 0.095
Game 40, Avg Cost: 0.165, Last cost: 0.165, Turns: 365, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val: -0.4067, lr_factor: 0.093
